Country/Region,"WHO Region",Confirmed
Afghanistan,"Eastern Mediterranean",0
Albania,Europe,0
Algeria,Africa,0
Andorra,Europe,0
Angola,Africa,0
"Antigua and Barbuda",Americas,0
Argentina,Americas,0
Armenia,Europe,0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Australia,"Western Pacific",0
Austria,Europe,0
Azerbaijan,Europe,0
Bahamas,Americas,0
Bahrain,"Eastern Mediterranean",0
Bangladesh,"South-East Asia",0
Barbados,Americas,0
Belarus,Europe,0
Belgium,Europe,0
Benin,Africa,0
Bhutan,"South-East Asia",0
Bolivia,Americas,0
"Bosnia and Herzegovina",Europe,0
Brazil,Americas,0
Brunei,"Western Pacific",0
Bulgaria,Europe,0
"Burkina Faso",Africa,0
"Cabo Verde",Africa,0
Cambodia,"Western Pacific",0
Cameroon,Africa,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
Canada,Americas,0
"Central African Republic",Africa,0
Chad,Africa,0
Chile,Americas,0
China,"Western Pacific",1
China,"Western Pacific",14
China,"Western Pacific",6
China,"Western Pacific",1
China,"Western Pacific",0
China,"Western Pacific",26
China,"Western Pacific",2
China,"Western Pacific",1
China,"Western Pacific",4
China,"Western Pacific",1
China,"Western Pacific",0
China,"Western Pacific",5
China,"Western Pacific",0
China,"Western Pacific",444
China,"Western Pacific",4
China,"Western Pacific",0
China,"Western Pacific",1
China,"Western Pacific",2
China,"Western Pacific",0
China,"Western Pacific",2
China,"Western Pacific",1
China,"Western Pacific",1
China,"Western Pacific",0
China,"Western Pacific",0
China,"Western Pacific",2
China,"Western Pacific",9
China,"Western Pacific",1
China,"Western Pacific",5
China,"Western Pacific",4
China,"Western Pacific",0
China,"Western Pacific",0
China,"Western Pacific",1
China,"Western Pacific",10
Colombia,Americas,0
"Congo (Brazzaville)",Africa,0
"Congo (Kinshasa)",Africa,0
"Costa Rica",Americas,0
"Cote d'Ivoire",Africa,0
Croatia,Europe,0
Cuba,Americas,0
Cyprus,Europe,0
Czechia,Europe,0
Denmark,Europe,0
Greenland,Europe,0
Denmark,Europe,0
Djibouti,"Eastern Mediterranean",0
"Dominican Republic",Americas,0
Ecuador,Americas,0
Egypt,"Eastern Mediterranean",0
"El Salvador",Americas,0
"Equatorial Guinea",Africa,0
Eritrea,Africa,0
Estonia,Europe,0
Eswatini,Africa,0
Ethiopia,Africa,0
Fiji,"Western Pacific",0
Finland,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
France,Europe,0
Gabon,Africa,0
Gambia,Africa,0
Georgia,Europe,0
Germany,Europe,0
Ghana,Africa,0
Greece,Europe,0
Guatemala,Americas,0
Guinea,Africa,0
Guyana,Americas,0
Haiti,Americas,0
"Holy See",Europe,0
Honduras,Americas,0
Hungary,Europe,0
Iceland,Europe,0
India,"South-East Asia",0
Indonesia,"South-East Asia",0
Iran,"Eastern Mediterranean",0
Iraq,"Eastern Mediterranean",0
Ireland,Europe,0
Israel,Europe,0
Italy,Europe,0
Jamaica,Americas,0
Japan,"Western Pacific",2
Jordan,"Eastern Mediterranean",0
Kazakhstan,Europe,0
Kenya,Africa,0
"South Korea","Western Pacific",1
Kuwait,"Eastern Mediterranean",0
Kyrgyzstan,Europe,0
Latvia,Europe,0
Lebanon,"Eastern Mediterranean",0
Liberia,Africa,0
Liechtenstein,Europe,0
Lithuania,Europe,0
Luxembourg,Europe,0
Madagascar,Africa,0
Malaysia,"Western Pacific",0
